planning_area,postal_district
Bedok,16
Bukit Timah,21
Bukit Batok,23
Bukit Merah,4
Central Water Catchment,
Downtown Core,6
Changi,17
Changi Bay,17
Lim Chu Kang,24
Boon Lay,22
Western Water Catchment,24
Woodlands,25
Marine Parade,15
Newton,9
North-Eastern Islands,
Orchard,9
Pasir Ris,18
Pioneer,22
Punggol,19
Queenstown,3
Sembawang,27
Simpang,
Tampines,18
Tanglin,10
Tuas,22
Western Islands,
Southern Islands,
Bukit Panjang,23
Bishan,20
Ang Mo Kio,20
Geylang,14
Straits View,1
Jurong East,22
Hougang,19
Jurong West,22
Choa Chu Kang,23
Kallang,13
Mandai,26
Tengah,24
Marina East,1
Marina South,1
Museum,9
Novena,11
Outram,3
Paya Lebar,14
River Valley,9
Rochor,7
Seletar,28
Sengkang,19
Serangoon,12
Clementi,5
Toa Payoh,12
Singapore River,
Sungei Kadut,25
Yishun,27
